backend,centered_correspondence_turnover,centered_translation_norm_m,scene_id,scene_row_index
OPEN3D_POINT_TO_PLANE,0.013261142424946637,0.0002819560891622548,FMB1_W02,25
OPEN3D_POINT_TO_PLANE,0.006300069176343459,5.286765086535538e-06,FMB1_W02,26
OPEN3D_POINT_TO_PLANE,-0.027841671171893345,-0.00040058676058512285,FMB1_W02,27
OPEN3D_POINT_TO_PLANE,0.012514189122599773,0.00021453315082320726,FMB1_W02,28
OPEN3D_POINT_TO_PLANE,0.020337610731520683,0.0005849837206056278,FMB1_W02,29
OPEN3D_POINT_TO_PLANE,-0.01043636493218364,-3.099157722928115e-05,FMB1_W02,30
OPEN3D_POINT_TO_PLANE,0.015103102742004437,0.0001786721512787064,FMB1_W03,1
OPEN3D_POINT_TO_PLANE,-0.0003165488679797157,-2.031910891530167e-07,FMB1_W03,2
OPEN3D_POINT_TO_PLANE,-0.00491027152821133,-0.00010253608948253875,FMB1_W03,3
OPEN3D_POINT_TO_PLANE,-0.0004045523120234096,2.0319108915312512e-07,FMB1_W03,4
OPEN3D_POINT_TO_PLANE,0.010433077004235014,0.0001105729047343266,FMB1_W03,5
OPEN3D_POINT_TO_PLANE,-0.006863739725221141,-0.0002569202791487291,FMB1_W03,6
OPEN3D_POINT_TO_PLANE,0.0012332532025363108,0.0001321417043331814,FMB1_W03,7
OPEN3D_POINT_TO_PLANE,0.022091998872346696,0.00037602106697859415,FMB1_W03,8
OPEN3D_POINT_TO_PLANE,0.02133000253927153,0.0005148022138805619,FMB1_W03,9
OPEN3D_POINT_TO_PLANE,0.009073117847139933,0.00021762259279934195,FMB1_W03,10
OPEN3D_POINT_TO_PLANE,-0.005400660834360638,-0.0001661548936785325,FMB1_W03,11
OPEN3D_POINT_TO_PLANE,0.0003165488679797157,-0.00010077570400580081,FMB1_W03,12
OPEN3D_POINT_TO_PLANE,0.007531981172098967,0.00012981610894282486,FMB1_W03,13
OPEN3D_POINT_TO_PLANE,-0.006090981168087484,-0.00021495350461815964,FMB1_W03,14
OPEN3D_POINT_TO_PLANE,-0.00343900748176007,-8.163266218779049e-05,FMB1_W03,15
OPEN3D_POINT_TO_PLANE,-0.022970118776209802,-0.0003603669621984379,FMB1_W03,16
OPEN3D_POINT_TO_PLANE,-0.013631648348643832,-0.00013654217346114575,FMB1_W03,17
OPEN3D_POINT_TO_PLANE,0.009712527280888339,0.00016932555272946691,FMB1_W03,18
OPEN3D_POINT_TO_PLANE,-0.01657316802548181,-0.0003201787479327372,FMB1_W03,19
OPEN3D_POINT_TO_PLANE,-0.006025942395576855,-0.00012043063800740205,FMB1_W03,20
OPEN3D_POINT_TO_PLANE,-0.0099011626119212,-7.068942049146129e-05,FMB1_W03,21
OPEN3D_POINT_TO_PLANE,-0.004423066276629362,-8.282550579885291e-05,FMB1_W03,22
OPEN3D_POINT_TO_PLANE,0.018304521274293273,0.00017097958095557838,FMB1_W03,23
OPEN3D_POINT_TO_PLANE,-0.007089212635468245,-0.00046383660869138,FMB1_W03,24
OPEN3D_POINT_TO_PLANE,0.003909098991333515,4.8555276442789814e-05,FMB1_W03,25
OPEN3D_POINT_TO_PLANE,0.006711617241223378,3.6170185596176856e-05,FMB1_W03,26
OPEN3D_POINT_TO_PLANE,0.08029511259069988,0.001586390202857193,FMB1_W03,27
OPEN3D_POINT_TO_PLANE,0.015096981000368936,8.648876638804516e-05,FMB1_W03,28
OPEN3D_POINT_TO_PLANE,0.019399746464334622,0.00040997107194973986,FMB1_W03,29
OPEN3D_POINT_TO_PLANE,-0.007374603669894508,-0.00024410852114306196,FMB1_W03,30
PCL_POINT_TO_PLANE,0.13501635993572053,0.0008585204397618916,FMB1_R01,1
PCL_POINT_TO_PLANE,0.10608991513288585,0.0006920401875435791,FMB1_R01,2
PCL_POINT_TO_PLANE,0.13142795014428038,0.0010056881956729056,FMB1_R01,3
PCL_POINT_TO_PLANE,0.16633071934673943,-0.0001065885679930344,FMB1_R01,4
PCL_POINT_TO_PLANE,0.058580103531173766,0.0007490048352127051,FMB1_R01,5
PCL_POINT_TO_PLANE,0.05771565432534259,-0.00017965688708996246,FMB1_R01,6
PCL_POINT_TO_PLANE,0.047703535869418945,0.0003843024762781982,FMB1_R01,7
PCL_POINT_TO_PLANE,0.08312807185706478,7.217637428398875e-05,FMB1_R01,8
PCL_POINT_TO_PLANE,0.03321481912613872,0.0005485673166180142,FMB1_R01,9
PCL_POINT_TO_PLANE,0.05739123904048088,0.00023770819981197577,FMB1_R01,10
PCL_POINT_TO_PLANE,-0.00774925652625541,7.470843231002279e-05,FMB1_R01,11
PCL_POINT_TO_PLANE,-0.0059157812181876435,1.5559021172321225e-05,FMB1_R01,12
PCL_POINT_TO_PLANE,0.0018176011648441404,-9.969449605448004e-06,FMB1_R01,13
PCL_POINT_TO_PLANE,-0.008548464989124926,4.333377542653516e-05,FMB1_R01,14
PCL_POINT_TO_PLANE,0.02347796511633088,-9.080573630947147e-05,FMB1_R01,15
PCL_POINT_TO_PLANE,0.0005162335922583305,3.1290348399133335e-06,FMB1_R01,16
PCL_POINT_TO_PLANE,0.0017654258679281054,4.784687498525031e-05,FMB1_R01,17
PCL_POINT_TO_PLANE,-0.008920240269566115,-3.385545386394963e-06,FMB1_R01,18
PCL_POINT_TO_PLANE,-0.005848565959883756,-0.00016285973842024054,FMB1_R01,19
PCL_POINT_TO_PLANE,-0.009753275669032335,-0.0002090434389326408,FMB1_R01,20
PCL_POINT_TO_PLANE,-0.016698407803639792,-0.00023145443907129177,FMB1_R01,21
PCL_POINT_TO_PLANE,-0.012385892027464152,-0.00013655958071224686,FMB1_R01,22
PCL_POINT_TO_PLANE,-0.00659146356244239,-0.00013922368920712432,FMB1_R01,23
PCL_POINT_TO_PLANE,-0.01476039723282746,-3.801746949802818e-05,FMB1_R01,24
PCL_POINT_TO_PLANE,-0.021990285040873025,-0.0001563320410984594,FMB1_R01,25
PCL_POINT_TO_PLANE,-0.0005162335922583305,0.00010296783610781442,FMB1_R01,26
PCL_POINT_TO_PLANE,0.005530294154073967,0.0003393687679099191,FMB1_R01,27
PCL_POINT_TO_PLANE,-0.0015611083253959657,-3.129034839913225e-06,FMB1_R01,28
PCL_POINT_TO_PLANE,-0.004870583709694454,-0.0001164740431531342,FMB1_R01,29
PCL_POINT_TO_PLANE,-0.026437686324077225,-0.00030873397225315467,FMB1_R01,30
PCL_POINT_TO_PLANE,0.0011932539680494791,5.923718972331086e-05,FMB1_R02,1
PCL_POINT_TO_PLANE,-0.0016750025672117586,6.389794911571028e-05,FMB1_R02,2
PCL_POINT_TO_PLANE,-0.0008827055590910904,5.384994669688681e-05,FMB1_R02,3
PCL_POINT_TO_PLANE,-0.016083208957504924,-0.00031410009325225395,FMB1_R02,4
PCL_POINT_TO_PLANE,0.004803773838990333,4.645414432650493e-05,FMB1_R02,5
PCL_POINT_TO_PLANE,0.0022723370158536094,1.865643617967851e-05,FMB1_R02,6
PCL_POINT_TO_PLANE,-0.004015319958346364,-4.665957612327268e-05,FMB1_R02,7
PCL_POINT_TO_PLANE,0.008874861531979916,-5.847003820222039e-06,FMB1_R02,8
PCL_POINT_TO_PLANE,-0.0010360001215259373,-0.0001070990759104339,FMB1_R02,9
PCL_POINT_TO_PLANE,0.005230239008782389,-0.00017196894266841437,FMB1_R02,10
PCL_POINT_TO_PLANE,0.009598503386091473,0.0003326787508694656,FMB1_R02,11
PCL_POINT_TO_PLANE,-0.0009283604009293622,-0.00015772764221618526,FMB1_R02,12
PCL_POINT_TO_PLANE,0.009761288347010955,-8.540372027758325e-05,FMB1_R02,13
PCL_POINT_TO_PLANE,-0.007071935418627384,5.847003820222039e-06,FMB1_R02,14
PCL_POINT_TO_PLANE,0.0008827055590910904,-0.00015995888253979193,FMB1_R02,15
PCL_POINT_TO_PLANE,0.00642547811234917,0.0002907722038102204,FMB1_R02,16
PCL_POINT_TO_PLANE,0.02014376139197316,0.0004003230494404077,FMB1_R02,17
PCL_POINT_TO_PLANE,0.029902664101745136,0.0003408195205401759,FMB1_R02,18
PCL_POINT_TO_PLANE,0.03174827285965576,0.0005453335413289487,FMB1_R02,19
PCL_POINT_TO_PLANE,0.0347520216321463,0.0001844237765293403,FMB1_R02,20
PCL_POINT_TO_PLANE,0.0038069974357548553,0.00013878087294036905,FMB1_R02,21
PCL_POINT_TO_PLANE,-0.0021234097405252728,9.212899104655105e-05,FMB1_R02,22
